Order_Id,Order_Date,Ship_Mode,Segment,Country,City,State,Postal_Code,Region,Category,Sub_Category,Product_Id,cost_price,List_price,Quantity,Discount_Percent,total_cost
568,2022-01-01,Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Binders,OFF-BI-10001107,70.00,80.00,7.00,4.00,490.00
8061,2022-01-01,Standard Class,Corporate,United States,Long Beach,New York,11561,East,Office Supplies,Paper,OFF-PA-10001970,60.00,60.00,5.00,2.00,300.00
3442,2022-01-01,Second Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,OFF-PA-10002137,100.00,110.00,14.00,2.00,1400.00
3791,2022-01-01,Standard Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001670,150.00,180.00,6.00,4.00,900.00
2472,2022-01-01,Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Bookcases,FUR-BO-10002213,410.00,450.00,4.00,3.00,1640.00
9663,2022-01-01,Standard Class,Home Office,United States,Santa Barbara,California,93101,West,Technology,Phones,TEC-PH-10001760,430.00,480.00,3.00,5.00,1290.00
1203,2022-01-01,Standard Class,Corporate,United States,Denver,Colorado,80219,West,Furniture,Chairs,FUR-CH-10002331,770.00,850.00,3.00,3.00,2310.00
4279,2022-01-01,Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Furniture,Furnishings,FUR-FU-10000550,10.00,10.00,2.00,3.00,20.00
8388,2022-01-01,Standard Class,Consumer,United States,Manchester,Connecticut,6040,East,Office Supplies,Storage,OFF-ST-10001328,60.00,80.00,5.00,4.00,300.00
6563,2022-01-01,Standard Class,Consumer,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Binders,OFF-BI-10001078,20.00,20.00,3.00,4.00,60.00
3778,2022-01-01,Standard Class,Home Office,United States,Chula Vista,California,91911,West,Furniture,Furnishings,FUR-FU-10002298,620.00,670.00,6.00,2.00,3720.00
5421,2022-01-01,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,TEC-PH-10002789,260.00,280.00,3.00,4.00,780.00
7972,2022-01-01,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,TEC-AC-10004227,30.00,30.00,3.00,3.00,90.00
6196,2022-01-01,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,TEC-PH-10004165,300.00,330.00,2.00,3.00,600.00
7736,2022-01-01,Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Paper,OFF-PA-10001870,20.00,20.00,3.00,2.00,60.00
6693,2022-01-01,Second Class,Home Office,United States,Lake Charles,Louisiana,70601,South,Office Supplies,Binders,OFF-BI-10000632,420.00,480.00,11.00,2.00,4620.00
5817,2022-01-02,Same Day,Consumer,United States,Utica,New York,13501,East,Office Supplies,Binders,OFF-BI-10001078,10.00,10.00,3.00,3.00,30.00
8773,2022-01-02,First Class,Corporate,United States,Raleigh,North Carolina,27604,South,Office Supplies,Paper,OFF-PA-10001125,60.00,70.00,3.00,4.00,180.00
6299,2022-01-02,Standard Class,Corporate,United States,San Diego,California,92024,West,Office Supplies,Binders,OFF-BI-10001460,40.00,40.00,3.00,4.00,120.00
3713,2022-01-02,First Class,Consumer,United States,Seattle,Washington,98103,West,Technology,Accessories,TEC-AC-10000521,10.00,10.00,1.00,4.00,10.00
9101,2022-01-02,Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Accessories,TEC-AC-10003033,750.00,790.00,3.00,3.00,2250.00
5739,2022-01-02,Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,OFF-BI-10004233,30.00,40.00,3.00,5.00,90.00
4438,2022-01-02,Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,OFF-AP-10002403,20.00,30.00,3.00,5.00,60.00
237,2022-01-02,Standard Class,Corporate,United States,Santa Clara,California,95051,West,Office Supplies,Paper,OFF-PA-10002479,10.00,10.00,2.00,4.00,20.00
5712,2022-01-02,Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,OFF-PA-10003363,20.00,20.00,3.00,4.00,60.00
1666,2022-01-02,Second Class,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Fasteners,OFF-FA-10002676,0.00,0.00,3.00,5.00,0.00
1927,2022-01-02,Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Phones,TEC-PH-10001198,160.00,180.00,3.00,2.00,480.00
9184,2022-01-02,Standard Class,Consumer,United States,Westminster,California,92683,West,Office Supplies,Paper,OFF-PA-10001970,20.00,20.00,2.00,4.00,40.00
6619,2022-01-02,Second Class,Corporate,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,OFF-PA-10004983,30.00,30.00,5.00,4.00,150.00
7100,2022-01-02,Second Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,OFF-PA-10003302,170.00,210.00,6.00,2.00,1020.00
6221,2022-01-02,Standard Class,Consumer,United States,Trenton,Michigan,48183,Central,Office Supplies,Storage,OFF-ST-10000617,20.00,20.00,7.00,2.00,140.00
4214,2022-01-02,Second Class,Consumer,United States,Richmond,Kentucky,40475,South,Office Supplies,Paper,OFF-PA-10001363,20.00,20.00,2.00,2.00,40.00
2066,2022-01-02,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Furniture,Chairs,FUR-CH-10003833,130.00,150.00,3.00,2.00,390.00
2188,2022-01-03,Standard Class,Consumer,United States,Columbus,Indiana,47201,Central,Office Supplies,Envelopes,OFF-EN-10003134,60.00,70.00,6.00,2.00,360.00
7039,2022-01-03,Standard Class,Consumer,United States,Smyrna,Georgia,30080,South,Office Supplies,Art,OFF-AR-10003896,20.00,20.00,3.00,4.00,60.00
2865,2022-01-03,Same Day,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Appliances,OFF-AP-10004249,70.00,80.00,7.00,4.00,490.00
3370,2022-01-03,Standard Class,Consumer,United States,Las Vegas,Nevada,89115,West,Office Supplies,Binders,OFF-BI-10002225,60.00,70.00,4.00,3.00,240.00
6542,2022-01-03,First Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Furnishings,FUR-FU-10003394,130.00,140.00,2.00,2.00,260.00
1721,2022-01-03,Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,OFF-BI-10002824,50.00,50.00,4.00,4.00,200.00
8691,2022-01-03,Standard Class,Corporate,United States,Akron,Ohio,44312,East,Technology,Phones,TEC-PH-10003580,230.00,260.00,2.00,3.00,460.00
3470,2022-01-03,Standard Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Paper,OFF-PA-10001019,50.00,50.00,3.00,4.00,150.00
4708,2022-01-03,First Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,OFF-BI-10003091,840.00,900.00,5.00,5.00,4200.00
